ENSMUSG00000133566.1	ENSMUSG00000133566
ENSMUSG00000100310.2	Gm19641
ENSMUSG00000129952.1	ENSMUSG00000129952
ENSMUSG00000101514.4	Gm5524
ENSMUSG00000101033.2	Gm18776
ENSMUSG00000101372.2	Gm19028
ENSMUSG00000129466.1	ENSMUSG00000129466
ENSMUSG00000141222.1	ENSMUSG00000141222
ENSMUSG00000139702.1	ENSMUSG00000139702
ENSMUSG00000103241.2	Gm38089
ENSMUSG00000086240.5	Gm7846
ENSMUSG00000138065.1	ENSMUSG00000138065
ENSMUSG00000048411.5	Spata31e5
ENSMUSG00000081557.3	Gm5697
ENSMUSG00000058590.3	Gm6462
ENSMUSG00000124238.1	ENSMUSG00000124238
ENSMUSG00000101235.2	Gm18033
ENSMUSG00002075209.1	Gm55767
ENSMUSG00002076857.1	Gm55769
ENSMUSG00002074912.1	Gm55770
ENSMUSG00000128221.1	ENSMUSG00000128221
ENSMUSG00000099257.3	Mir6342
ENSMUSG00000099492.2	Gm5525
ENSMUSG00000123191.1	ENSMUSG00000123191
ENSMUSG00000118548.2	Gm53035
ENSMUSG00000101726.2	Gm7858
ENSMUSG00002075317.1	Gm55771
ENSMUSG00000127937.1	ENSMUSG00000127937
ENSMUSG00002075289.1	Gm55772
ENSMUSG00000124992.1	ENSMUSG00000124992
ENSMUSG00000125037.1	ENSMUSG00000125037
ENSMUSG00000053185.4	Gm9898
ENSMUSG00000142156.1	ENSMUSG00000142156
ENSMUSG00000100261.2	Gm6473
ENSMUSG00000101180.2	Gm2914
ENSMUSG00000048874.16	Phf3
ENSMUSG00000103783.2	Gm37522
ENSMUSG00000104315.2	Gm37906
ENSMUSG00000128750.1	ENSMUSG00000128750
ENSMUSG00000026064.17	Ptp4a1
ENSMUSG00000117310.3	Ptp4a1
ENSMUSG00000139019.1	ENSMUSG00000139019
ENSMUSG00000117091.2	Alyreffm3
ENSMUSG00000086726.4	Gm9458
ENSMUSG00000086727.10	Alyreffm1
ENSMUSG00000100910.3	Gm29128
ENSMUSG00000125934.1	ENSMUSG00000125934
ENSMUSG00002076113.1	Gm55778
ENSMUSG00000099796.2	Gm7893
ENSMUSG00000050217.14	Lgsn
ENSMUSG00000026063.5	Dnaaf6rt
ENSMUSG00000077664.3	Gm26145
ENSMUSG00000100205.2	Gm4850
ENSMUSG00000100592.2	Gm28645
ENSMUSG00000094215.4	Alyreffm2
ENSMUSG00000124860.1	ENSMUSG00000124860
ENSMUSG00000101093.2	Eef1a1-ps2
ENSMUSG00000070960.5	Gm19680
ENSMUSG00000088620.3	Gm23032
ENSMUSG00000082159.3	Gm7910
ENSMUSG00000124101.1	ENSMUSG00000124101
ENSMUSG00000142221.1	ENSMUSG00000142221
ENSMUSG00000026058.12	Khdrbs2
ENSMUSG00000064688.3	Gm25814
ENSMUSG00000103482.2	Gm37999
ENSMUSG00000104498.2	Gm37110
ENSMUSG00000104313.2	Gm37911
ENSMUSG00000102865.2	Gm9839
ENSMUSG00000102321.2	Gm37792
ENSMUSG00000091318.3	Semp2l1
ENSMUSG00000089489.3	Gm24732
ENSMUSG00000104433.2	Gm37426
ENSMUSG00002076392.1	Gm55794
ENSMUSG00000102926.2	Gm37151
ENSMUSG00000100497.2	Gm28624
ENSMUSG00000102917.2	Gm37724
ENSMUSG00000100481.2	Gm7114
ENSMUSG00000100590.2	Gm4785
ENSMUSG00000131675.1	ENSMUSG00000131675
ENSMUSG00000088750.3	Gm24901
ENSMUSG00000104230.3	Gm37591
ENSMUSG00000101754.3	Gm2987
ENSMUSG00000137049.1	ENSMUSG00000137049
ENSMUSG00000065223.4	Gm25792
ENSMUSG00000100318.3	Gm18799
ENSMUSG00000132768.1	ENSMUSG00000132768
ENSMUSG00000101612.3	Gm7933
ENSMUSG00000065260.3	Gm23453
ENSMUSG00000026134.12	Prim2
ENSMUSG00000101682.2	Gm29228
ENSMUSG00000138807.1	ENSMUSG00000138807
ENSMUSG00000102714.2	Gm37618
ENSMUSG00000102093.2	Gm17813
ENSMUSG00000138851.1	ENSMUSG00000138851
ENSMUSG00000103746.3	1700001G17Rik
ENSMUSG00000102198.2	Gm38173
ENSMUSG00000121274.2	Gm57180
ENSMUSG00000004768.15	Rab23
ENSMUSG00000042215.9	Bag2
ENSMUSG00000103072.2	Gm37905
ENSMUSG00000042197.14	Zfp451
ENSMUSG00000123811.1	ENSMUSG00000123811
ENSMUSG00000081402.5	Gm15455
ENSMUSG00000123789.1	ENSMUSG00000123789
ENSMUSG00000042182.17	Bend6
ENSMUSG00000104416.2	Gm37067
